Record ID,Catalog Number,Match Taxon Concept GUID,Scientific Name,Vernacular Name,Matched Scientific Name,Taxon Rank - matched,Vernacular Name - matched,Kingdom - matched,Phylum - matched,Class - matched,Order - matched,Family - matched,Genus - matched,Species - matched,Subspecies - matched,Institution Code,Collection Code,locality,Latitude - processed,Longitude - processed,Coordinate Precision,Coordinate Uncertainty in Metres - parsed,Country - parsed,IBRA Region - parsed,IMCRA Region - parsed,State - parsed,Local Government Area - parsed,Minimum Elevation In Metres,Maximum Elevation In Metres,Minimum Depth In Meters,Maximum Depth In Meters,individual Count,Collector,Year - parsed,Month - parsed,Day - parsed,Event Date - parsed,Event Time - parsed,Basis Of Record,Sex,Preparations,Information withheld during processing,Data Generalised during processing,Species habitats,Outlier for layer,Taxon identification issue,Location Quality,coordinate Uncertainty In Meters,Data Resource ID,Data Resource Name,Precipitation - annual,Temperature - annual mean (Bio01),el 1007,missing Coordinate Precision,decimal Lat Long Converted,geodetic Datum Assumed Wgs 84,inferred Duplicate Record,Altitude value non-numeric,Invalid collection date,Collection date missing,Coordinate uncertainty not specified,Habitat incorrect for species,Basis of record not supplied,Suspected outlier,Type status not recognised,Basis of record badly formed,Collection code not recognised,Coordinates dont match supplied state,Coordinate accuracy not valid,unrecognized Geodetic Datum
e4220982-c03f-4047-ab70-2163282babe7,CANB 711968,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"Goorganga Station via Proserpine, margin of Goorganga Plain, Site CS43/1.",-20.4725,148.65,,200,Australia,Central Mackay Coast,,Queensland,Whitsunday,,,,,,"Fell, D.G.; Stanton, D.J.",2007,8,4,4/08/2007,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,200,dr376,Australia's Virtual Herbarium,1712,23.5,32.9,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
c097da4e-a76e-4a2e-bee9-d9862eb67725,CANB 72801,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"2mls N of Mulbring, Hunter Valley.",-32.8833,150.4833,,10000,Australia,Sydney Basin,,New South Wales,Singleton,,,,,,"Story, R.",1959,8,6,6/08/1959,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10000,dr376,Australia's Virtual Herbarium,817,15.1,29.54,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1aa9e978-170e-4968-89da-05736fc473f6,CANB 739724,urn:lsid:biodiversity.org.au:apni.taxon:306682,Eucalyptus tereticornis Sm. subsp. tereticornis,,Eucalyptus tereticornis subsp. tereticornis,subspecies,Blue gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,Eucalyptus tereticornis subsp. tereticornis,CANB,CANB,Near Mt. Fox.,-18.85,145.8,,4000,Australia,Einasleigh Uplands,,Queensland,Dalrymple,,,,,,"Gittins, C.H.",1962,7,,,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,4000,dr376,Australia's Virtual Herbarium,853,21.4,31.5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
e53b3c2a-d3ae-43a8-95c9-0b476ff51483,CANB 73549,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"6mls W by N of Aberdeen, Hunter Valley.",-32.0833,150.8833,,25000,Australia,Sydney Basin,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1959,11,28,28/11/1959,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,25000,dr376,Australia's Virtual Herbarium,629,17.3,32.49,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21e10430-0061-432e-99e3-6265eab10e68,CANB 73560,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"3 mls S by E of Bunnan, Hunter Valley.",-32.05,150.6167,,1000,Australia,Brigalow Belt South,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1959,11,30,30/11/1959,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,689,16.7,32.13,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
f8012275-dddc-48e0-845d-92da45471da9,CANB 73562,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"4 mls  W of Bunnan, Hunter Valley.",-32.0333,150.55,,1000,Australia,Brigalow Belt South,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1959,11,30,30/11/1959,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,680,16.5,31.95,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6b896280-4916-45f1-aac7-4afa439fe1bf,CANB 73522,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"10mls S by W of Murrurundi, Hunter Valley.",-31.85,150.7167,,1000,Australia,Brigalow Belt South,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1959,11,26,26/11/1959,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,764,15.1,30.5,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
d9f60048-4761-418d-ac0f-30ade2b3d41f,CANB 784341,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"CULTIVATED: CSIRO Plant Industry glasshouse, Canberra.",-35.2667,149.1167,,1000,Australia,South Eastern Highlands,,Australian Capital Territory,O'Connor,,,,,,"Connors, J.R.",,,,,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,679,13.4,29.31,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5d797076-8b54-43d2-a1ff-05e3235f6626,CANB 784677,urn:lsid:biodiversity.org.au:apni.taxon:306682,Eucalyptus tereticornis Sm. subsp. tereticornis,,Eucalyptus tereticornis subsp. tereticornis,subspecies,Blue gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,Eucalyptus tereticornis subsp. tereticornis,CANB,CANB,"Burdekin River, Harvey Range Development Road..",-19.4333,145.85,,150,Australia,Einasleigh Uplands,,Queensland,Dalrymple,,,,,,"McDonald, M.W.; Butcher, P.A.",2007,10,19,19/10/2007,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,150,dr376,Australia's Virtual Herbarium,539,23.3,34.62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
482bd42f-2660-4b7b-a6f5-a8b2d2bf2eb3,CANB 782040,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"On Milbrodale Road, 2.5 km W of the bridge over Wollombi Brook.",-32.7333,151.0667,,1000,Australia,Sydney Basin,,New South Wales,Singleton,90,,,,,"Palmer, P.R.",1996,11,4,4/11/1996,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,681,17.7,32.19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6741ff10-dfe2-4c81-83c1-216272647e23,CANB 782041,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"On Milbrodale Road, 2.5 km W of the bridge over Wollombi Brook.",-32.7333,151.0667,,1000,Australia,Sydney Basin,,New South Wales,Singleton,90,,,,,"Palmer, P.R.",1996,11,21,21/11/1996,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,681,17.7,32.19,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70795ece-789c-427c-80c9-9f9ff0558e72,CANB 691603,urn:lsid:biodiversity.org.au:apni.taxon:291437,Eucalyptus tereticornis subsp. mediana Brooker & Slee,,Eucalyptus tereticornis subsp. mediana,subspecies,Gippsland red gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,Eucalyptus tereticornis subsp. mediana,CANB,CANB,"Gippsland Lakes National Park, Boole Poole Peninsula, 2.4 km SE of Trouser Point, Metung.",-37.9114,147.8744,,50,Australia,South East Coastal Plain,,Victoria,E. Gippsland - Bairnsdale,3,,,,,"Walsh, N.G.; Rule, K.",2007,8,15,15/08/2007,,PreservedSpecimen,,,,,,0,"[""noIssue""]",Spatially valid,50,dr376,Australia's Virtual Herbarium,,14.7,26.09,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70eb5130-bce5-4ecd-a97f-aaa0e6e59edd,CANB 698153,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"Barker's Cave Road, Undara National Park.",-18.2281,144.5389,,50,Australia,Einasleigh Uplands,,Queensland,Etheridge,,,,,,"McDonald, K.R.",2007,12,22,22/12/2007,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,50,dr376,Australia's Virtual Herbarium,730,22.3,34.19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
e3613af6-1f4d-4983-bed1-3c683d1a05dd,CBG 19440,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CBG,Woolgoolga.,-30.1167,153.2,,10000,Australia,NSW North Coast,,New South Wales,Coffs Harbour - Pt B,,,,,,"Burgess, C.",1967,5,17,17/05/1967,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10000,dr376,Australia's Virtual Herbarium,,19.3,29.04,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
757e5eeb-62bb-405e-9fd0-c5b885041e48,CBG 1314,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CBG,Laguna.,-33,151.1333,,10000,Australia,Sydney Basin,,New South Wales,Cessnock,,,,,,"Burgess, C.",1963,9,30,30/09/1963,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10000,dr376,Australia's Virtual Herbarium,813,17.1,30.11,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66ad115a-7a1d-4f77-96db-4e5719bd8ca7,CBG 1377,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CBG,"Twelve Mile Creek, N of Raymond Terrace.",-32.6167,151.8333,,10000,Australia,NSW North Coast,,New South Wales,Dungog,,,,,,"Burgess, C.",1963,9,3,3/09/1963,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10000,dr376,Australia's Virtual Herbarium,1021,17.6,30.4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40cfba46-3167-41e3-a853-53d3758baf31,CBG 1415,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CBG,Castle Hill.,-33.7333,151.1333,,10000,Australia,Sydney Basin,,New South Wales,Ku-ring-gai,,,,,,"Williams, L.H.",1963,6,30,30/06/1963,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10000,dr376,Australia's Virtual Herbarium,1139,17.2,28.48,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
e2af6ac1-9d55-409e-84f8-69d5f98a79b3,CANB 97198,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,Bungonia Lookdown.,-34.8667,149.95,,10000,Australia,South Eastern Highlands,,New South Wales,Goulburn Mulwaree Bal,,,,,,"Moore, C.W.E.",1961,7,7,7/07/1961,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10000,dr376,Australia's Virtual Herbarium,685,13.4,28.25,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4caf3c62-4be0-43dd-8ded-11c7321323f9,CBG 11959,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CBG,"Guan Gua Cr., west of Scone.",-32.0833,150.6667,,1000,Australia,Sydney Basin,,New South Wales,Upper Hunter Shire,,,,,,"Burgess, C.",1963,8,8,8/08/1963,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,676,17.1,32.6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9c2996d1-88dd-4c3b-a767-cd2fbe4ddcd6,CBG 11970,urn:lsid:biodiversity.org.au:apni.taxon:306679,Eucalyptus tereticornis Sm.,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CBG,"Guan Gua Creek, West of Scone.",-32.0833,150.6667,,1000,Australia,Sydney Basin,,New South Wales,Upper Hunter Shire,,,,,,"Burgess, C.",1963,8,8,8/08/1963,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,676,17.1,32.6,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54fd369a-76bf-40da-9ae9-b74e9d47f205,CANB 85424,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,11 mls ESE of Murrurundi.,-31.8,150.9167,,1000,Australia,Sydney Basin,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1960,10,13,13/10/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,777,16.1,31.66,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
c2528743-d124-44cc-80cb-0b4996e7ecfb,CANB 85426,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,11 mls ESE of Murrurundi.,-31.8,150.9167,,1000,Australia,Sydney Basin,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1960,10,13,13/10/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,777,16.1,31.66,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40a3cc6b-d7ce-4826-8ccc-0625287f0b13,CANB 85458,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,12.5 mls NNE of Scone.,-31.9667,150.95,,1000,Australia,NSW North Coast,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1960,10,6,6/10/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,772,14.4,29.31,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4bb489f9-b84d-485d-9b4d-c5561bd75288,CANB 85478,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"Ellerston, 31 mls ENE of Scone.",-31.8167,151.3167,,1000,Australia,NSW North Coast,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1960,10,14,14/10/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,782,16,31.04,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
c52832a3-e099-4b76-8977-3eb02eb78275,CANB 85479,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,"Ellerston, 31 mls ENE of Scone.",-31.8167,151.3167,,1000,Australia,NSW North Coast,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1960,10,14,14/10/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,782,16,31.04,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3c418255-ea55-4587-a313-a96412405146,CANB 85504,urn:lsid:biodiversity.org.au:apni.taxon:306682,Eucalyptus tereticornis Sm. subsp. tereticornis,,Eucalyptus tereticornis subsp. tereticornis,subspecies,Blue gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,Eucalyptus tereticornis subsp. tereticornis,CANB,CANB,"Mount Scrumlo, 19mls E of Aberdeen.",-32.1667,151.2,,1000,Australia,NSW North Coast,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1960,10,11,11/10/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,824,14.1,28.13,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
eca238a2-0499-4e14-8674-68a8b518968d,CANB 79693,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,12mls E of Muswellbrook.,-32.2667,151.0833,,25000,Australia,NSW North Coast,,New South Wales,Muswellbrook,,,,,,"Story, R.",1960,3,19,19/03/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,25000,dr376,Australia's Virtual Herbarium,733,16.8,31.41,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9ae55532-e29d-428e-b623-4396ca39e98f,CANB 79733,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,Upper Rouchel Brook.,-32.1167,151.0833,,1000,Australia,NSW North Coast,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1960,3,18,18/03/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,715,16.8,31.69,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3a48e47e-9411-40d0-8a24-d6c873c55f5a,CANB 79734,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,Upper Rouchel Brook.,-32.1167,151.0833,,1000,Australia,NSW North Coast,,New South Wales,Upper Hunter Shire,,,,,,"Story, R.",1960,3,18,18/03/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,715,16.8,31.69,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bfe05fb8-3f0c-4ba9-8004-ac663c8e0d76,CANB 79739,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,5 mls E of Aberdeen.,-32.2,150.9,,1000,Australia,Sydney Basin,,New South Wales,Muswellbrook,,,,,,"Story, R.",1960,3,18,18/03/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,1000,dr376,Australia's Virtual Herbarium,605,17.1,32.14,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bd8dadd2-27a8-418c-9f5d-af78f774708c,CANB 79742,urn:lsid:biodiversity.org.au:apni.taxon:306679,tereticornis Valley,,Eucalyptus tereticornis,species,Forest  Red Gum,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus tereticornis,,CANB,CANB,4mls NE of Muswellbrook.,-32.2333,150.9,,10000,Australia,Sydney Basin,,New South Wales,Muswellbrook,,,,,,"Story, R.",1960,3,18,18/03/1960,,PreservedSpecimen,,,,,"[""Non-marine""]",0,"[""noIssue""]",Spatially valid,10000,dr376,Australia's Virtual Herbarium,606,17.6,32.82,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
